,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
197,Caribbean Netherlands,11668,0,38,0.0,10476,0,1154,0,437873,1426,30126,1130559,26647,North America,2023-02-22
198,Sint Maarten,11016,0,91,0.0,10905,0,20,0,250557,2070,62056,1411454,43966,North America,2023-02-22
199,Eritrea,10189,0,103,0.0,10086,0,0,0,2782,28,23693,6470,3662244,Africa,2023-02-22
200,Niger,9931,0,312,0.0,8890,0,729,1,381,12,254538,9759,26083660,Africa,2023-02-22
201,St. Vincent Grenadines,9589,0,123,0.0,9463,0,3,0,85961,1103,113604,1018404,111551,North America,2023-02-22
202,Antigua and Barbuda,9106,0,146,0.0,8954,0,6,1,91509,1467,18901,189943,99509,North America,2023-02-22
203,Comoros,8998,1,161,0.0,8837,1,0,0,9916,177,0,0,907419,Africa,2023-02-22
204,Guinea-Bissau,8953,0,176,0.0,8660,0,117,6,4339,85,145231,70385,2063367,Africa,2023-02-22
205,Liberia,8065,0,294,0.0,7768,0,3,2,1520,55,139824,26356,5305117,Africa,2023-02-22
206,Sierra Leone,7760,0,126,0.0,0,0,0,0,934,15,259958,31296,8306436,Africa,2023-02-22
207,Chad,7675,0,194,0.0,4874,0,2607,0,441,11,191341,10988,17413580,Africa,2023-02-22
208,British Virgin Islands,7305,0,64,0.0,0,0,0,0,238757,2092,107339,3508269,30596,North America,2023-02-22
209,Cook Islands,7025,0,2,0.0,7012,0,11,0,399806,114,19690,1120596,17571,Australia/Oceania,2023-02-22
210,Saint Kitts and Nevis,6596,0,46,0.0,6546,0,4,0,122441,854,126927,2356129,53871,North America,2023-02-22
211,Turks and Caicos,6551,0,38,0.0,6491,0,22,4,164842,956,611527,15387811,39741,North America,2023-02-22
212,Sao Tome and Principe,6281,0,77,0.0,6203,0,1,0,27587,338,29036,127530,227679,Africa,2023-02-22
213,Palau,5988,0,9,0.0,5976,0,3,0,328416,494,69136,3791806,18233,Australia/Oceania,2023-02-22
214,St. Barth,5439,8,6,0.0,0,0,0,0,546908,603,78646,7908095,9945,North America,2023-02-22
215,Nauru,5247,0,1,0.0,5075,0,171,0,481244,92,20509,1881042,10903,Australia/Oceania,2023-02-22
216,Kiribati,5013,0,18,0.0,2703,0,2292,3,40618,146,0,0,123419,Australia/Oceania,2023-02-22
217,Anguilla,3904,0,12,0.0,3879,0,13,4,256336,788,51382,3373736,15230,North America,2023-02-22
218,Macao,3513,0,121,0.0,3378,0,14,0,5263,181,7850,11760,667490,Asia,2023-02-22
219,Saint Pierre Miquelon,3452,0,2,0.0,2449,0,1001,1,599410,347,25400,4410488,5759,North America,2023-02-22
220,Wallis and Futuna,3427,0,7,0.0,438,0,2982,0,312056,637,20508,1867419,10982,Australia/Oceania,2023-02-22
221,Tuvalu,2805,0,0,0.0,0,0,2805,0,232471,0,0,0,12066,Australia/Oceania,2023-02-22
222,Saint Helena,2166,0,0,0.0,2,0,2164,0,354211,0,0,0,6115,Africa,2023-02-22
223,Falkland Islands,1930,0,0,0.0,1930,0,0,0,545352,0,8632,2439107,3539,South America,2023-02-22
224,Montserrat,1403,0,8,0.0,1376,0,19,0,282578,1611,17762,3577442,4965,North America,2023-02-22
225,Niue,783,0,0,0.0,752,0,31,0,482737,0,0,0,1622,Australia/Oceania,2023-02-22
